entry_mode,stop_buffer,trail,rs_min,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
reversal,0.0,2.5,80,2460,160,0.29375,188.99976350844085,-67.81839692412095,2.786850944293249,7.621937702944079,1.1591326936440949,0.006700488692637618,-0.05739047752791271,-0.3174570951529582,-0.3439086240326532,0.5544488711819389,1.9889409420435944,11,,286.08,476.26,477.29,468.23
reversal,0.0,2.5,85,2460,142,0.3028169014084507,197.79477692015044,-73.48719218118664,2.6915544198841714,8.661573110063301,1.169058990454741,0.006745995118687231,-0.0551839587163363,-0.3198954614311294,-0.33189353276990047,0.5385126162018592,1.8209126064940666,10,,255.13,438.86,439.86,517.56
reversal,0.0,2.5,90,2460,107,0.27102803738317754,222.27503928723084,-77.24909008071812,2.877380679241323,3.930346850782062,1.0697953807435687,0.002332107146103546,-0.07147434040794498,-0.48073254973716933,-0.4358471281173365,0.4448871181938911,1.3959740584630613,9,,192.66,337.34,337.85,568.05
reversal,0.0,3.0,70,2460,159,0.2578616352201258,238.20971642345694,-70.33171568134534,3.3869459050696706,9.229282534358381,1.176820187354716,0.008057935762251445,-0.07304558393477356,-0.283892258017125,-0.3447190860001317,0.5883134130146083,1.8646540410654693,11,,284.01,445.98,447.12,310.55
reversal,0.0,3.0,75,2460,142,0.3028169014084507,259.59740219374436,-76.87952234734891,3.3766781357050957,25.01137733763003,1.4666379781345364,0.018934592403722972,-0.06651799264626435,-0.009044943036175474,-0.010600996875207918,0.5783532536520585,1.7368212097203386,10,,254.11,416.55,418.7,328.34
reversal,0.0,3.0,80,2460,135,0.31851851851851853,252.27181842920376,-79.33118387500501,3.179983029456433,26.29051315522444,1.4862964159415937,0.018897721226181163,-0.0570335392481397,-0.0068232042564313694,-0.007709269932281333,0.5790172642762285,1.6658925892518894,9,,241.79,399.71,401.84,382.31
reversal,0.0,3.0,85,2460,123,0.2845528455284553,282.0739611238252,-76.40284343059042,3.691930148909713,25.602751361316475,1.4683813092254543,0.01685220347872529,-0.057768622539814074,-0.054594342416617904,-0.06034343955355879,0.5723771580345286,1.5381585796797776,11,,221.33,371.55,373.45,435.62
reversal,0.0,3.0,90,2460,92,0.25,349.24473110036064,-81.74404901097792,4.272417812989156,26.00314601685675,1.4241392709963854,0.012920879385625694,-0.0766040092909781,-0.15906488651467243,-0.16172826286015574,0.4847277556440903,1.1939487796537267,10,,165.88,289.19,290.64,520.69
reversal,0.0,3.5,70,2460,142,0.2605633802816901,291.7588026520941,-76.08129154242688,3.8348297818970942,19.76436680403283,1.351320970763738,0.015113673655687387,-0.05938883623484714,-0.09352996014250498,-0.11468800948731614,0.6162018592297477,1.7078264886083945,14,,253.93,409.34,411.11,524.76
reversal,0.0,3.5,75,2460,135,0.2740740740740741,271.39927018790974,-81.79363980101627,3.3180974810285635,15.007379973726414,1.2527510897760903,0.011031986023965379,-0.06792207213248014,-0.191673002110379,-0.2242889868751834,0.5896414342629482,1.599077717537086,13,,242.01,384.11,385.47,499.19
reversal,0.0,3.5,80,2460,128,0.3046875,254.376891855351,-85.65661107579972,2.969728648618218,17.947346848535272,1.3013417673720284,0.01243469977927436,-0.0617532491624424,-0.14656789039913093,-0.1677830034690913,0.5942895086321381,1.5473811086298523,11,,229.95,372.59,374.07,555.72
reversal,0.0,3.5,85,2460,114,0.2894736842105263,287.94953008040596,-81.61850639456617,3.527993132934573,25.3617146902942,1.4373305356400112,0.015524181294735317,-0.06746492381988589,-0.08166036990609846,-0.08878266870415859,0.5816733067729084,1.3943376768621842,11,,205.32,337.0,338.74,506.73
reversal,0.0,3.5,90,2460,89,0.23595505617977527,363.1096609558932,-88.46975585188498,4.104336645438551,18.082690810624495,1.267515728738376,0.008782352538466487,-0.09684148431639161,-0.2524560707911073,-0.25274306873721597,0.49867197875166,1.1485186072346554,10,,160.6,278.27,279.32,533.79
reversal,0.25,2.5,70,2226,175,0.2914285714285714,167.02067689091496,-59.29682427962945,2.8166883963850395,6.658561775786348,1.1584766791583632,0.0064292047795933005,-0.06986126244512159,-0.3419163355386194,-0.3845488655379048,0.5803452855245684,2.025504712265475,12,,313.22,486.1,487.12,398.7
reversal,0.25,2.5,75,2226,159,0.3081761006289308,188.20749827382122,-63.683192945408344,2.9553715755923204,13.943498059259888,1.316483701854761,0.012043629034016456,-0.06853241671079413,-0.18924805739609327,-0.20969225126759689,0.5577689243027888,1.8871972737126643,13,,284.3,452.24,453.76,560.61
reversal,0.25,2.5,80,2226,151,0.2980132450331126,177.97157371216937,-64.28825826084314,2.7683371509314756,7.908380406610925,1.1752374697350603,0.00656369877602514,-0.058912837961428655,-0.3393639180007739,-0.37206049969199323,0.5424966799468791,1.8124921104296525,12,,269.99,434.17,435.15,531.35
reversal,0.25,2.5,85,2226,130,0.2923076923076923,199.4446661861458,-69.92831126081575,2.852130454606079,8.811482146757637,1.17805388342425,0.006289940323316756,-0.05702156613473219,-0.35658905128792034,-0.35684169555236794,0.5099601593625498,1.6217227162797139,10,,233.42,390.51,391.42,413.09
