ticker,sector,entry_date,exit_date,entry_px,exit_px,shares,pnl_eur,pnl_pct,hold_days,exit_reason,regime_at_entry
INTU,Tech,2021-12-08,2021-12-14,651.450527434616,606.730527537653,3,-124.9327029436779,-0.07199464251219974,6,TRAILING_STOP,BULL_STRONG
ANET,Tech,2021-12-08,2022-01-05,31.64858823514938,33.482168282459554,76,116.52451363339287,0.05456544654687167,28,TRAILING_STOP,BULL_STRONG
LOW,ConsDisc,2021-12-27,2022-01-10,229.07078936801258,223.02706957128973,14,-88.56808491565516,-0.031241250129808124,14,TRAILING_STOP,BULL_STRONG
PFE,Health,2022-01-12,2022-01-18,43.99150216677188,41.35386927602425,24,-62.389918574963076,-0.06705387328275164,6,TRAILING_STOP,NEUTRAL
AAPL,Tech,2022-01-12,2022-01-19,172.24810316149413,163.10456433118438,6,-48.775042076321824,-0.053551615276389616,7,TRAILING_STOP,NEUTRAL
KLAC,Tech,2022-01-12,2022-01-19,41.12513025231816,38.31588729964261,22,-55.065916443088554,-0.0690516147410597,7,TRAILING_STOP,NEUTRAL
QCOM,Tech,2021-12-22,2022-01-20,162.93414258321758,155.39547900360284,16,-123.39168895199919,-0.05336572175193485,29,TRAILING_STOP,BULL_MODERATE
SLB,Energy,2022-04-04,2022-04-22,38.056521175068276,35.98998973694981,29,-39.294240095693795,-0.039267985512402306,18,TRAILING_STOP,NEUTRAL
COP,Energy,2022-04-08,2022-04-22,86.43337169489537,82.19536394042159,14,-55.45017019357965,-0.04970873084889745,14,TRAILING_STOP,NEUTRAL
RTX,Industrial,2022-04-04,2022-04-25,91.50929664959907,89.94933209026377,20,2.605521796505627,0.001570696568526438,21,TRAILING_STOP,NEUTRAL
EOG,Energy,2022-04-08,2022-04-25,100.74969782128107,92.96698923965553,9,-63.88207822784659,-0.07640331540588731,17,GAP_STOP,NEUTRAL
ADI,Tech,2023-04-11,2023-04-26,182.47781652550094,171.02906309024354,12,-150.36677558274937,-0.07454861197509151,15,TRAILING_STOP,BULL_STRONG
AVGO,Tech,2023-04-11,2023-04-27,60.596468850237805,58.783978720856375,51,-136.14537335404566,-0.04783239506451111,16,TRAILING_STOP,BULL_STRONG
VRTX,Health,2023-05-22,2023-05-23,344.490072555542,332.2499691407871,9,-105.55969400233562,-0.03680872742097992,1,TRAILING_STOP,BULL_MODERATE
BKNG,ConsDisc,2023-05-16,2023-05-24,104.31708615143432,102.19848426537918,9,-12.717506323431735,-0.01470258940984393,8,TRAILING_STOP,NEUTRAL
ISRG,Health,2023-05-25,2023-07-21,303.16096911106104,334.3759698760618,8,141.42162389223358,0.06265445281979985,57,TRAILING_STOP,NEUTRAL
CRM,Tech,2023-06-09,2023-08-02,207.36583394433356,215.9482989708904,15,51.00198525649921,0.017661262727137115,54,TRAILING_STOP,BULL_MODERATE
NVDA,Tech,2023-04-27,2023-08-09,27.34110991457843,43.124950073571576,85,1234.458918702081,0.5861175577039909,104,TRAILING_STOP,BULL_MODERATE
AVGO,Tech,2023-05-11,2023-08-09,60.223362299594875,82.94716768082718,20,413.06766398966556,0.37610008291735375,90,TRAILING_STOP,NEUTRAL
GE,Industrial,2023-08-11,2023-08-17,89.37313550379751,87.08271807761317,28,-42.38182685125548,-0.01857732717318999,6,TRAILING_STOP,NEUTRAL
NOW,Tech,2023-08-15,2023-08-18,113.6398736000061,106.68520781707764,10,-64.17639912574259,-0.06151165664665382,3,GAP_STOP,NEUTRAL
KLAC,Tech,2023-08-21,2023-08-25,48.095986065645214,45.92912315403231,28,-51.380473895030036,-0.04143205969025521,4,TRAILING_STOP,NEUTRAL
ADBE,Tech,2023-08-16,2023-09-15,523.4257153125,526.3559900854535,2,26.041107217122544,0.027078662780715128,30,TRAILING_STOP,NEUTRAL
LRCX,Tech,2023-08-22,2023-09-15,66.02583521135287,62.73168074691865,14,-25.84921998018308,-0.03042086059719765,24,TRAILING_STOP,NEUTRAL
CAT,Industrial,2023-08-29,2023-09-26,264.042461735115,258.14381957142064,12,-9.17978334207828,-0.003133033967595402,28,TRAILING_STOP,BULL_MODERATE
BKNG,ConsDisc,2023-08-23,2023-10-03,120.66912509362218,117.80365959012967,19,16.25888042830138,0.0076828676902691954,41,TRAILING_STOP,NEUTRAL
CDNS,Tech,2023-10-05,2023-10-24,235.57915937112804,234.45531243896485,5,-26.197990670976424,-0.0233318356647387,19,GAP_STOP,NEUTRAL
LLY,Health,2023-12-11,2023-12-14,589.113463499025,560.3224902013619,5,-168.96072922298072,-0.06168633894755955,3,TRAILING_STOP,BULL_STRONG
SNPS,Tech,2023-12-08,2023-12-22,535.3525296565246,530.3245448045626,6,-92.25090011424936,-0.030961823201693123,14,TRAILING_STOP,BULL_STRONG
ANET,Tech,2024-01-05,2024-02-13,57.967369208335874,64.40803115844727,56,375.6117776650958,0.12653736860368284,39,GAP_STOP,BULL_STRONG
MSFT,Tech,2023-12-08,2024-02-20,364.6991591575241,392.4708221182205,8,203.59121585410185,0.07522594925933912,74,TRAILING_STOP,BULL_STRONG
GE,Industrial,2024-01-05,2024-04-02,98.32338902314845,132.4232528900544,33,1097.9097922768733,0.3700386029023894,88,TRAILING_STOP,BULL_STRONG
IBM,Tech,2024-02-23,2024-04-02,172.25094676367814,175.13983804109097,20,72.52333860642693,0.022766149895447778,39,TRAILING_STOP,BULL_STRONG
CRM,Tech,2024-04-03,2024-04-04,299.8940484563827,288.36838859851423,11,-143.77822750837186,-0.04688487522996349,1,TRAILING_STOP,BULL_STRONG
IBM,Tech,2024-04-04,2024-04-09,178.865227654245,173.66684435003725,13,-72.73616796350643,-0.0338635109359527,5,TRAILING_STOP,NEUTRAL
URI,Industrial,2024-03-13,2024-04-11,663.7287781452941,659.6151233257049,5,26.25849753827515,0.008637425821622363,29,TRAILING_STOP,BULL_STRONG
KLAC,Tech,2024-04-11,2024-04-17,68.61346969894407,65.13095872809507,38,-103.13450401073987,-0.04244168708131722,6,TRAILING_STOP,BULL_MODERATE
AVGO,Tech,2024-04-17,2024-04-18,131.5786644929913,125.89622180915464,13,-81.09311696380792,-0.05028752151545141,1,GAP_STOP,NEUTRAL
META,Comm,2023-12-08,2024-04-19,324.4758753182602,481.641089684389,9,1358.527700224206,0.5015071193521606,133,TRAILING_STOP,BULL_STRONG
NFLX,Comm,2024-04-02,2024-04-19,61.56929629405974,56.73121020126343,57,-237.87422507358906,-0.07270275355829048,17,GAP_STOP,BULL_STRONG
GE,Industrial,2024-05-22,2024-06-13,159.24921452167507,154.72069395131854,21,-83.13660649181702,-0.02695733791711047,22,TRAILING_STOP,BULL_STRONG
ETN,Industrial,2024-06-13,2024-07-01,319.07672385486603,299.333585143598,6,-102.35667018617346,-0.05773906560278939,18,TRAILING_STOP,BULL_MODERATE
GE,Industrial,2024-06-17,2024-07-01,161.06925116203305,155.1498585814253,21,-132.80633527694908,-0.04197636048993489,14,TRAILING_STOP,BULL_MODERATE
ANET,Tech,2024-06-12,2024-07-17,76.88849398612976,85.59757118576631,26,174.71838817446337,0.09375164996386569,35,TRAILING_STOP,BULL_MODERATE
TRGP,Energy,2024-05-10,2024-07-25,108.83191868988786,124.97182846178063,31,438.12785557576944,0.13991208350546327,76,TRAILING_STOP,BULL_STRONG
C,Fin,2024-07-29,2024-08-01,61.52733820858681,59.1831769343687,29,-62.937650192892306,-0.03823452798934133,3,TRAILING_STOP,NEUTRAL
GE,Industrial,2024-07-09,2024-08-05,162.03478698013285,150.59696925352122,14,-167.43972861167572,-0.07984945086880026,27,GAP_STOP,BULL_MODERATE
FITB,Fin,2024-08-16,2024-09-10,37.39843817117214,37.34317941967739,26,-9.865438770787478,-0.011113035489678257,25,TRAILING_STOP,NEUTRAL
META,Comm,2024-09-06,2024-09-10,519.0480933297007,496.7772102527669,3,-55.39660734861468,-0.03947368032997643,4,TRAILING_STOP,NEUTRAL
LLY,Health,2024-09-12,2024-09-27,913.9932488275953,874.664725536303,1,-50.74243334320272,-0.0610170810286786,15,TRAILING_STOP,NEUTRAL
PGR,Fin,2024-07-29,2024-10-07,198.91862669466016,226.78860073838086,8,182.43927244345332,0.1242609744011901,70,TRAILING_STOP,NEUTRAL
FITB,Fin,2024-10-03,2024-11-04,39.60070009311676,40.12010207211067,90,87.02987605144745,0.026951260543547916,32,TRAILING_STOP,BULL_STRONG
NVDA,Tech,2024-11-05,2024-11-27,137.40708732474477,134.66457408531332,19,31.83582809901418,0.013245038415955004,22,GAP_STOP,BULL_MODERATE
