,0
2018-08-03,36870.41354258979
2018-08-06,37091.07036384939
2018-08-07,37240.56160221723
2018-08-08,37302.57887646747
2018-08-09,37346.24889956247
2018-08-10,37047.31665865362
2018-08-13,36954.289434382736
2018-08-14,37227.197231650345
2018-08-15,36812.54615164866
2018-08-16,36967.2669373944
2018-08-17,36999.53631674869
2018-08-20,37057.708111310494
2018-08-21,37221.485540071226
2018-08-22,37319.98514732607
2018-08-23,37317.27601539186
2018-08-24,37631.000573759855
2018-08-27,37954.479639826415
2018-08-28,38020.11705572458
2018-08-29,38423.306585863094
2018-08-30,38288.55291337721
2018-08-31,38365.517579881285
2018-09-04,38285.70408327687
2018-09-05,37824.37958299241
2018-09-06,37585.30176278535
2018-09-07,37493.56590380908
2018-09-10,37621.22253246086
2018-09-11,37925.40356494029
2018-09-12,37859.26283567974
2018-09-13,38163.68908111132
2018-09-14,38068.59451676755
2018-09-17,37569.28723566008
2018-09-18,37911.838018669965
2018-09-19,37875.32490746849
2018-09-20,38250.821452006836
2018-09-21,38074.37146214592
2018-09-24,38090.11029522252
2018-09-25,38145.68632723087
2018-09-26,38136.56128559771
2018-09-27,38362.63099386307
2018-09-28,38396.69366651828
2018-10-01,38444.725994221255
2018-10-02,38244.24498129082
2018-10-03,38253.575965841024
2018-10-04,37578.92810156756
2018-10-05,37173.68855572445
2018-10-08,36990.34612798846
2018-10-09,37038.17042836992
2018-10-10,35480.974013235376
2018-10-11,34976.19886318508
2018-10-12,35890.034366603344
2018-10-15,35521.73413351756
2018-10-16,36460.50029677596
2018-10-17,36309.24466599914
2018-10-18,35559.345361832085
2018-10-19,35427.42795033422
2018-10-22,35633.76101114754
2018-10-23,35546.84070011813
2018-10-24,34119.83205653558
2018-10-25,35248.03791708113
2018-10-26,34345.288195565576
2018-10-29,33815.56233448719
2018-10-30,34296.96541518558
2018-10-31,34984.84614391306
2018-11-01,35358.15988555277
2018-11-02,35271.20479903137
2018-11-05,35538.80664235066
2018-11-06,35724.093271406025
2018-11-07,36464.30599608127
2018-11-08,36480.55274505194
2018-11-09,36347.433152415084
2018-11-12,35875.85209755581
2018-11-13,35759.33084025234
2018-11-14,35493.835751627536
2018-11-15,35561.92343879807
2018-11-16,35664.66281485404
2018-11-19,35203.87340678452
2018-11-20,34633.37855832091
2018-11-21,34596.34758670024
2018-11-23,34601.46191769997
2018-11-26,34987.03079319677
2018-11-27,35246.98180081353
2018-11-28,35974.28057116368
2018-11-29,35977.64257401038
2018-11-30,36385.91038301535
2018-12-03,36412.06799366935
2018-12-04,35944.97516911411
2018-12-06,35925.80185733751
2018-12-07,35513.84901728555
2018-12-10,35582.656685087015
2018-12-11,35764.953500085954
2018-12-12,35776.244382207624
2018-12-13,35965.032765525735
2018-12-14,35334.91467364736
2018-12-17,34448.91963582782
2018-12-18,34135.68372855059
2018-12-19,33857.863160922265
2018-12-20,33491.42434382664
2018-12-21,33189.218726691586
2018-12-24,32142.007082776316
2018-12-26,33053.81275858403
2018-12-27,33373.82633682819
2018-12-28,33414.33596598844
2018-12-31,33644.17985337336
2019-01-02,33409.35836804551
2019-01-03,33584.25490140594
2019-01-04,33569.21337890804
2019-01-07,33430.69884362382
2019-01-08,33513.25311974234
2019-01-09,33458.79258491559
2019-01-10,33593.97328322192
2019-01-11,33618.89772640029
2019-01-14,33353.354088667074
2019-01-15,33468.75507049562
2019-01-16,33496.12861237993
2019-01-17,33501.78186250261
2019-01-18,33443.38431469623
2019-01-22,33541.954393661974
2019-01-23,33644.59580521035
2019-01-24,33774.3235994412
2019-01-25,33568.29679527317
2019-01-28,33522.29444959854
2019-01-29,33618.441587999965
2019-01-30,33756.40546238414
2019-01-31,34096.95125816193
2019-02-01,33903.22104635037
2019-02-04,33955.73492038731
2019-02-05,34038.10927669469
2019-02-06,33994.708232343626
2019-02-07,34114.83682320058
2019-02-08,34185.59543246768
2019-02-11,34200.52620615115
2019-02-12,34304.33341380876
2019-02-13,34373.03931099193
2019-02-14,34423.848003059305
2019-02-15,34701.34306708686
2019-02-19,34755.676084068764
2019-02-20,34720.86745048159
2019-02-21,34723.77804192464
2019-02-22,34967.61116690234
2019-02-25,34812.03499793108
2019-02-26,34733.041799269224
2019-02-27,34656.765936123265
2019-02-28,34723.472032515536
